V - Plot 0	PC - Plot 0	
-20	-0.650306	
-19.9	-8.13102	
-19.8	-12.629	
-19.7	-12.629	
-19.6	-10.5159	
-19.5	-6.85573	
-19.4	-4.13182	
-19.3	-2.39131	
-19.2	-1.49721	
-19.1	-1.13707	
-19	-0.954705	
-18.9	-0.954705	
-18.8	-0.83185	
-18.7	-0.751208	
-18.6	-0.710115	
-18.5	-0.698945	
-18.4	-0.661421	
-18.3	-0.661612	
-18.2	-0.678904	
-18.1	-0.678904	
-18	-0.705666	
-17.9	-0.728908	
-17.8	-0.707395	
-17.7	-0.655714	
-17.6	-0.621195	
-17.5	-0.572782	
-17.4	-0.572782	
-17.3	-0.532469	
-17.2	-0.516305	
-17.1	-0.499114	
-17	-0.521597	
-16.9	-0.526255	
-16.8	-0.550211	
-16.7	-0.600859	
-16.6	-0.677802	
-16.5	-0.677802	
-16.4	-0.70113	
-16.3	-0.68386	
-16.2	-0.672854	
-16.1	-0.66478	
-16	-0.665503	
-15.9	-0.63375	
-15.8	-0.559294	
-15.7	-0.492824	
-15.6	-0.481523	
-15.5	-0.504976	
-15.4	-0.504976	
-15.3	-0.493793	
-15.2	-0.442619	
-15.1	-0.393599	
-15	-0.401753	
-14.9	-0.390681	
-14.8	-0.362574	
-14.7	-0.329164	
-14.6	-0.323018	
-14.5	-0.336164	
-14.4	-0.329559	
-14.3	-0.329559	
-14.2	-0.34769	
-14.1	-0.358064	
-14	-0.343699	
-13.9	-0.306978	
-13.8	-0.287181	
-13.7	-0.27707	
-13.6	-0.279998	
-13.5	-0.286795	
-13.4	-0.296525	
-13.3	-0.296525	
-13.2	-0.27915	
-13.1	-0.29012	
-13	-0.293493	
-12.9	-0.245288	
-12.8	-0.167139	
-12.7	-0.102488	
-12.6	-0.0743345	
-12.5	-0.0743345	
-12.4	-0.0543813	
-12.3	-0.0205672	
-12.2	-0.0022487	
-12.1	-0.0280279	
-12	-0.0525858	
-11.9	-0.0603194	
-11.8	-0.0653042	
-11.7	-0.0618085	
-11.6	-0.0688831	
-11.5	-0.0688831	
-11.4	-0.0846913	
-11.3	-0.0775045	
-11.2	-0.0554812	
-11.1	-0.0623313	
-11	-0.0884966	
-10.9	-0.0947298	
-10.8	-0.057607	
-10.7	-0.0165295	
-10.6	0.00439387	
-10.5	0.00439387	
-10.4	-0.0115082	
-10.3	-0.0422477	
-10.2	-0.0437884	
-10.1	-0.0370296	
-10	-0.0447639	
-9.9	-0.0706477	
-9.8	-0.069485	
-9.7	0.000264383	
-9.6	0.000264383	
-9.5	0.0244818	
-9.4	0.0113117	
-9.3	-0.0113029	
-9.2	-0.0317752	
-9.1	-0.0676254	
-9	-0.0945034	
-8.9	-0.0927627	
-8.8	-0.075083	
-8.7	-0.0417329	
-8.6	-0.0467096	
-8.5	-0.0391396	
-8.4	-0.0409358	
-8.3	-0.0373376	
-8.2	-0.0373376	
-8.1	-0.0494285	
-8	-0.0690832	
-7.9	-0.0485175	
-7.8	-0.0479619	
-7.7	-0.0141107	
-7.6	0.00528272	
-7.5	0.0144319	
-7.4	0.0144319	
-7.3	0.0366893	
-7.2	0.076058	
-7.1	0.0928748	
-7	0.0865886	
-6.9	0.0823845	
-6.8	0.094756	
-6.7	0.140714	
-6.6	0.13973	
-6.5	0.0903307	
-6.4	0.0341058	
-6.3	0.0341058	
-6.2	0.0109793	
-6.1	-0.0340795	
-6	-0.0726099	
-5.9	-0.0639349	
-5.8	-0.0438832	
-5.7	-0.0420197	
-5.6	-0.0597689	
-5.5	-0.0526574	
-5.4	-0.0526574	
-5.3	-0.0667263	
-5.2	-0.0353176	
-5.1	0.0204266	
