V - Plot 0	PC - Plot 0	
-20	-44.1322	
-19.9	-44.1322	
-19.8	-43.9309	
-19.7	-43.7014	
-19.6	-43.2014	
-19.5	-42.4366	
-19.4	-41.4341	
-19.3	-40.447	
-19.2	-39.461	
-19.1	-38.4727	
-19	-38.4727	
-18.9	-37.6077	
-18.8	-36.8098	
-18.7	-36.0507	
-18.6	-35.2849	
-18.5	-34.533	
-18.4	-33.6517	
-18.3	-32.7924	
-18.2	-32.0084	
-18.1	-31.3096	
-18	-31.3096	
-17.9	-30.6734	
-17.8	-30.0042	
-17.7	-29.2482	
-17.6	-28.4513	
-17.5	-27.7483	
-17.4	-27.1069	
-17.3	-26.4847	
-17.2	-25.8827	
-17.1	-25.2958	
-17	-24.7688	
-16.9	-24.7688	
-16.8	-24.2566	
-16.7	-23.7623	
-16.6	-23.3454	
-16.5	-22.9167	
-16.4	-22.4387	
-16.3	-21.9164	
-16.2	-21.4021	
-16.1	-20.9563	
-16	-20.9563	
-15.9	-20.5588	
-15.8	-20.1917	
-15.7	-19.8783	
-15.6	-19.5905	
-15.5	-19.2543	
-15.4	-18.8497	
-15.3	-18.4214	
-15.2	-18.0372	
-15.1	-17.7551	
-15	-17.7551	
-14.9	-17.5109	
-14.8	-17.2108	
-14.7	-16.8574	
-14.6	-16.549	
-14.5	-16.301	
-14.4	-16.0841	
-14.3	-15.8701	
-14.2	-15.6596	
-14.1	-15.3887	
-14	-15.3887	
-13.9	-15.1529	
-13.8	-14.9075	
-13.7	-14.7286	
-13.6	-14.5592	
-13.5	-14.2912	
-13.4	-14.0481	
-13.3	-13.8217	
-13.2	-13.5947	
-13.1	-13.394	
-13	-13.2043	
-12.9	-13.2043	
-12.8	-13.0242	
-12.7	-12.8466	
-12.6	-12.7101	
-12.5	-12.594	
-12.4	-12.4528	
-12.3	-12.3115	
-12.2	-12.167	
-12.1	-12.0133	
-12	-11.821	
-11.9	-11.6275	
-11.8	-11.6275	
-11.7	-11.5004	
-11.6	-11.4518	
-11.5	-11.4115	
-11.4	-11.3336	
-11.3	-11.2438	
-11.2	-11.193	
-11.1	-11.1629	
-11	-11.1322	
-10.9	-11.072	
-10.8	-11.0165	
-10.7	-10.9548	
-10.6	-10.8876	
-10.5	-10.8225	
-10.4	-10.8225	
-10.3	-10.7237	
-10.2	-10.6123	
-10.1	-10.5405	
-10	-10.4799	
-9.9	-10.4473	
-9.8	-10.4075	
-9.7	-10.3584	
-9.6	-10.3584	
-9.5	-10.3408	
-9.4	-10.2995	
-9.3	-10.2498	
-9.2	-10.1892	
-9.1	-10.1231	
-9	-10.0954	
-8.9	-10.0643	
-8.8	-10.0643	
-8.7	-10.0363	
-8.6	-10.0438	
-8.5	-10.0469	
-8.4	-10.0392	
-8.3	-10.0245	
-8.2	-9.96567	
-8.1	-9.88425	
-8	-9.77449	
-7.9	-9.63637	
-7.8	-9.54362	
-7.7	-9.54362	
-7.6	-9.52472	
-7.5	-9.48808	
-7.4	-9.41437	
-7.3	-9.35291	
-7.2	-9.33539	
-7.1	-9.32685	
-7	-9.26971	
-6.9	-9.26971	
-6.8	-9.1732	
-6.7	-9.07447	
-6.6	-8.99515	
-6.5	-8.9542	
-6.4	-8.92612	
-6.3	-8.88162	
-6.2	-8.85273	
-6.1	-8.84775	
-6	-8.84775	
-5.9	-8.80734	
-5.8	-8.74305	
-5.7	-8.64924	
-5.6	-8.64618	
-5.5	-8.67303	
-5.4	-8.67674	
-5.3	-8.64066	
-5.2	-8.56182	
-5.1	-8.48174	
-5	-8.41358	
-4.9	-8.41358	
-4.8	-8.3723	
-4.7	-8.34895	
-4.6	-8.35087	
-4.5	-8.32585	
-4.4	-8.28425	
-4.3	-8.22301	
-4.2	-8.17767	
-4.1	-8.09565	
-4	-8.0117	
-3.9	-7.97854	
-3.8	-7.97854	
-3.7	-7.93188	
-3.6	-7.97256	
-3.5	-8.0047	
-3.4	-7.96833	
-3.3	-7.9708	
-3.2	-7.99544	
-3.1	-8.05444	
-3	-8.10881	
-2.9	-8.10881	
-2.8	-8.14872	
-2.7	-8.13973	
-2.6	-8.11936	
-2.5	-8.07186	
-2.4	-8.05319	
-2.3	-8.00017	
-2.2	-7.9412	
-2.1	-7.8977	
-2	-7.85928	
-1.9	-7.85928	
-1.8	-7.80122	
-1.7	-7.72791	
-1.6	-7.69595	
-1.5	-7.70322	
-1.4	-7.68763	
-1.3	-7.6401	
-1.2	-7.5592	
-1.1	-7.51657	
-1	-7.48446	
-0.9	-7.45855	
-0.8	-7.45855	
-0.7	-7.42002	
-0.6	-7.33737	
-0.5	-7.22711	
-0.4	-7.08433	
-0.3	-6.92488	
-0.2	-6.7302	
-0.1	-6.29487	
0	-5.32999	
0.1	-3.72839	
0.2	-1.73079	
0.3	-1.73079	
0.4	0.380556	
0.5	2.36057	
0.6	3.99876	
0.7	5.16985	
0.8	5.81948	
0.9	6.19786	
1	6.45833	
1.1	6.60685	
1.2	6.72369	
1.3	6.82791	
1.4	6.91301	
1.5	6.91301	
1.6	6.98986	
1.7	7.04589	
1.8	7.09153	
1.9	7.13158	
2	7.15915	
2.1	7.18904	
2.2	7.23542	
2.3	7.23542	
2.4	7.25975	
2.5	7.26107	
2.6	7.27831	
2.7	7.3311	
2.8	7.40308	
2.9	7.46756	
3	7.50865	
3.1	7.54624	
3.2	7.57185	
3.3	7.57185	
3.4	7.55324	
3.5	7.4902	
3.6	7.4162	
3.7	7.3695	
3.8	7.37755	
3.9	7.42071	
4	7.4803	
4.1	7.53694	
4.2	7.56985	
4.3	7.59211	
4.4	7.59211	
4.5	7.60209	
4.6	7.61217	
4.7	7.63329	
4.8	7.67096	
4.9	7.71376	
5	7.77079	
5.1	7.80299	
5.2	7.82405	
5.3	7.85363	
5.4	7.85363	
5.5	7.89316	
5.6	7.93633	
5.7	7.97353	
5.8	8.05055	
5.9	8.10666	
6	8.14867	
6.1	8.15447	
6.2	8.15447	
6.3	8.17432	
6.4	8.1981	
6.5	8.16489	
6.6	8.16489	
6.7	8.22829	
6.8	8.32308	
6.9	8.40136	
7	8.44006	
7.1	8.49784	
7.2	8.57216	
7.3	8.62012	
7.4	8.62012	
7.5	8.64802	
7.6	8.64802	
7.7	8.69044	
7.8	8.76227	
7.9	8.81388	
8	8.87381	
8.1	8.95784	
8.2	9.03168	
8.3	9.10979	
8.4	9.10979	
8.5	9.2181	
8.6	9.35463	
8.7	9.30763	
8.8	9.21257	
8.9	9.21313	
9	9.26597	
9.1	9.3333	
9.2	9.3333	
9.3	9.36201	
9.4	9.37977	
9.5	9.43062	
9.6	9.46728	
9.7	9.49486	
9.8	9.53196	
9.9	9.60632	
10	9.70054	
10.1	9.76634	
10.2	9.7967	
10.3	9.82499	
10.4	9.82499	
10.5	9.84149	
10.6	9.84622	
10.7	9.88982	
10.8	9.96632	
10.9	10.0403	
11	10.135	
11.1	10.2439	
11.2	10.329	
11.3	10.3986	
11.4	10.4406	
11.5	10.5214	
11.6	10.6295	
11.7	10.7339	
11.8	10.7339	
11.9	10.8437	
12	10.9017	
12.1	10.9485	
12.2	10.9663	
12.3	10.9535	
12.4	10.9857	
12.5	11.0835	
12.6	11.1913	
12.7	11.3252	
12.8	11.4208	
12.9	11.4933	
13	11.4933	
13.1	11.5833	
13.2	11.6743	
13.3	11.7394	
13.4	11.7645	
13.5	11.8197	
13.6	11.9381	
13.7	12.0708	
13.8	12.2115	
13.9	12.2115	
14	12.3043	
14.1	12.4646	
14.2	12.6403	
14.3	12.7844	
14.4	12.8809	
14.5	13.0215	
14.6	13.2148	
14.7	13.2148	
14.8	13.3821	
14.9	13.4972	
15	13.617	
15.1	13.7545	
15.2	13.9522	
15.3	14.1274	
15.4	14.2797	
15.5	14.5	
15.6	14.751	
15.7	15.0259	
15.8	15.0259	
15.9	15.33	
16	15.6217	
16.1	15.9128	
16.2	16.2085	
16.3	16.5191	
16.4	16.7933	
16.5	17.1155	
16.6	17.4654	
16.7	17.4654	
16.8	17.8026	
16.9	18.1646	
17	18.5533	
17.1	18.9748	
17.2	19.4712	
17.3	20.0415	
17.4	20.6011	
17.5	21.2111	
17.6	21.7929	
17.7	21.7929	
17.8	22.4362	
17.9	23.2087	
18	23.967	
18.1	24.7707	
18.2	25.6419	
18.3	26.4377	
18.4	27.1525	
18.5	27.9177	
18.6	28.7448	
18.7	28.7448	
18.8	29.6461	
18.9	30.7425	
19	31.8894	
19.1	32.9828	
19.2	34.1135	
19.3	35.3418	
19.4	36.5888	
19.5	36.5888	
19.6	37.9408	
19.7	39.4974	
19.8	40.9912	
19.9	42.2517	
20	43.5606	
