Freqency (MHz) - Plot 0	PL - Plot 0	
2820.000	70507	
2821.000	70524.1	
2822.000	63656.4	
2823.000	70413.7	
2824.000	71420.2	
2825.000	71101.4	
2826.000	70656.5	
2827.000	70804.8	
2828.000	72034.8	
2829.000	70321.2	
2830.000	71107.2	
2831.000	70610.2	
2832.000	70869.4	
2833.000	70360.5	
2834.000	70425.7	
2835.000	70679.3	
2836.000	71484.1	
2837.000	71908.5	
2838.000	71773.7	
2839.000	70930.7	
2840.000	70444.3	
2841.000	70488.2	
2842.000	69907.4	
2843.000	69881.1	
2844.000	72520.7	
2845.000	69922.1	
2846.000	71002.3	
2847.000	70517	
2848.000	70665.4	
2849.000	70278.8	
2850.000	70382.6	
2851.000	69636.9	
2852.000	69155.5	
2853.000	69637.7	
2854.000	69489.1	
2855.000	71280.7	
2856.000	68198.8	
2857.000	69377.7	
2858.000	68919.7	
2859.000	68455	
2860.000	69190.7	
2861.000	66722.3	
2862.000	66756.4	
2863.000	65560.7	
2864.000	65507.3	
2865.000	64564.3	
2866.000	63813.8	
2867.000	64210.6	
2868.000	63076.7	
2869.000	62853.6	
2870.000	61844.7	
2871.000	61665.6	
2872.000	62228.8	
2873.000	62378.1	
2874.000	63806.7	
2875.000	64574.4	
2876.000	64576.2	
2877.000	65652.8	
2878.000	66665.1	
2879.000	66742.9	
2880.000	68183	
2881.000	68863.8	
2882.000	69097	
2883.000	69224.1	
2884.000	70073.5	
2885.000	69193.1	
2886.000	69029.5	
2887.000	68780.2	
2888.000	69179.7	
2889.000	69095.1	
2890.000	69590.6	
2891.000	69357.3	
2892.000	69505.8	
2893.000	69326.3	
2894.000	70691.4	
2895.000	69943.7	
2896.000	70227.3	
2897.000	69806	
2898.000	69468	
2899.000	69511.1	
2900.000	70958.2	
2901.000	69305.7	
2902.000	70041.7	
2903.000	69642.6	
2904.000	69670.1	
2905.000	70209.5	
2906.000	70521.6	
2907.000	69899.5	
2908.000	70123.5	
2909.000	69807.6	
2910.000	69279.3	
2911.000	69246.7	
2912.000	69270.8	
2913.000	68534.8	
2914.000	68821.3	
2915.000	68090.4	
2916.000	69179	
2917.000	69069.1	
2918.000	68225.8	
2919.000	67314.6	
2920.000	68296.7	
