Freqency (MHz) - Plot 0	PL - Plot 0	
2820.000	88834.8	
2821.000	89465.9	
2822.000	89124.1	
2823.000	89193.2	
2824.000	89052.5	
2825.000	89119	
2826.000	89386.3	
2827.000	89619.9	
2828.000	89694	
2829.000	89228.1	
2830.000	88931.3	
2831.000	88725.6	
2832.000	88907	
2833.000	89354.2	
2834.000	89284.1	
2835.000	89043	
2836.000	89193.1	
2837.000	88938	
2838.000	90116.4	
2839.000	88221.5	
2840.000	89159.6	
2841.000	88471.5	
2842.000	89626.1	
2843.000	87995.3	
2844.000	88613.5	
2845.000	88394.8	
2846.000	88879.4	
2847.000	88334.8	
2848.000	88299.4	
2849.000	88216.5	
2850.000	88305.1	
2851.000	87823.7	
2852.000	87935.1	
2853.000	88220.4	
2854.000	87839.3	
2855.000	88631.5	
2856.000	88719.3	
2857.000	87469.4	
2858.000	87642.8	
2859.000	87139.6	
2860.000	87169.8	
2861.000	87329.7	
2862.000	86963.9	
2863.000	86933.6	
2864.000	86569.8	
2865.000	87007.2	
2866.000	86965.2	
2867.000	86388.5	
2868.000	86164.4	
2869.000	86978.1	
2870.000	86156.7	
2871.000	86145.6	
2872.000	86009.9	
2873.000	87232.9	
2874.000	86104.2	
2875.000	86935.4	
2876.000	87186.9	
2877.000	87267	
2878.000	87536.9	
2879.000	88920.4	
2880.000	86723.6	
2881.000	87290	
2882.000	88020.5	
2883.000	88474.8	
2884.000	88732.8	
2885.000	87444.4	
2886.000	88035.5	
2887.000	87554.5	
2888.000	88633.3	
2889.000	88902.9	
2890.000	88560.6	
2891.000	88246.5	
2892.000	88672.2	
2893.000	89195.3	
2894.000	88810.4	
2895.000	88949.6	
2896.000	89013.9	
2897.000	89866.4	
2898.000	88756.2	
2899.000	88926.7	
2900.000	89439.4	
2901.000	89331.4	
2902.000	89351.6	
2903.000	89148.6	
2904.000	88071.3	
2905.000	88936.2	
2906.000	88611.9	
2907.000	89472	
2908.000	89078	
2909.000	89256.5	
2910.000	88064.4	
2911.000	88215.4	
2912.000	88331.9	
2913.000	88972	
2914.000	89169.5	
2915.000	88669.9	
2916.000	89000.1	
2917.000	89163.9	
2918.000	89410.4	
2919.000	89409.7	
2920.000	90336.8	
