Freqency (MHz) - Plot 0	PL - Plot 0	
2820.000	88589.3	
2821.000	89319.4	
2822.000	89473.8	
2823.000	90038.7	
2824.000	88848	
2825.000	88986.8	
2826.000	89432.7	
2827.000	88971.5	
2828.000	88697.9	
2829.000	89306.1	
2830.000	89977.6	
2831.000	89153.8	
2832.000	89408.7	
2833.000	89331.4	
2834.000	89204.2	
2835.000	89139.8	
2836.000	89377	
2837.000	88903.4	
2838.000	88410.2	
2839.000	88655.6	
2840.000	89203.3	
2841.000	89020	
2842.000	89056.9	
2843.000	88864	
2844.000	88765.7	
2845.000	88867.4	
2846.000	89191.8	
2847.000	88463.2	
2848.000	87741.5	
2849.000	89154.3	
2850.000	88235.4	
2851.000	88546.6	
2852.000	89004.1	
2853.000	87665.2	
2854.000	88127.4	
2855.000	88042	
2856.000	87961.1	
2857.000	87962.5	
2858.000	88103.2	
2859.000	87803.1	
2860.000	88023.9	
2861.000	87513.4	
2862.000	87880.6	
2863.000	87105	
2864.000	87125.2	
2865.000	87832.2	
2866.000	85684.6	
2867.000	87173.1	
2868.000	86720.4	
2869.000	86754.6	
2870.000	86655.8	
2871.000	86912.1	
2872.000	85461.5	
2873.000	86529.9	
2874.000	84996.2	
2875.000	87446	
2876.000	87618.1	
2877.000	86693	
2878.000	88525.5	
2879.000	87478.2	
2880.000	89455.5	
2881.000	86058.9	
2882.000	87837	
2883.000	88760.3	
2884.000	87889.2	
2885.000	89820.9	
2886.000	87942.5	
2887.000	88844.3	
2888.000	89427.6	
2889.000	87911.2	
2890.000	88507.5	
2891.000	89011.8	
2892.000	89328.2	
2893.000	88063.4	
2894.000	88621.3	
2895.000	89642.2	
2896.000	88853.1	
2897.000	89104	
2898.000	88818.3	
2899.000	90277.4	
2900.000	89730.9	
2901.000	90247.7	
2902.000	88598.3	
2903.000	88840.9	
2904.000	89297.1	
2905.000	89043.1	
2906.000	89283.7	
2907.000	89917.9	
2908.000	89182.1	
2909.000	88947.8	
2910.000	89592.7	
2911.000	88954.6	
2912.000	88522.7	
2913.000	88956.4	
2914.000	88668.5	
2915.000	89205.9	
2916.000	88931.5	
2917.000	89404.1	
2918.000	89617	
2919.000	89497.3	
2920.000	90226.9	
