V - Plot 0	PL - Plot 0	
-20	376388	
-19.8	375232	
-19.6	375776	
-19.4	373287	
-19.2	375349	
-19	375386	
-18.8	376728	
-18.6	375874	
-18.4	375578	
-18.2	376369	
-18	379791	
-17.8	372032	
-17.6	372278	
-17.4	375643	
-17.2	384549	
-17	366912	
-16.8	375207	
-16.6	374148	
-16.4	373589	
-16.2	374372	
-16	373682	
-15.8	374823	
-15.6	375882	
-15.4	373853	
-15.2	385068	
-15	363951	
-14.8	373799	
-14.6	373676	
-14.4	375231	
-14.2	376209	
-14	374195	
-13.8	375776	
-13.6	374197	
-13.4	372956	
-13.2	375561	
-13	378171	
-12.8	385149	
-12.6	364947	
-12.4	379856	
-12.2	374334	
-12	378080	
-11.8	378415	
-11.6	378523	
-11.4	377585	
-11.2	375955	
-11	377885	
-10.8	378127	
-10.6	377023	
-10.4	378465	
-10.2	378839	
-10	369049	
-9.8	407366	
-9.6	354548	
-9.4	376499	
-9.2	376807	
-9	375131	
-8.8	375232	
-8.6	375266	
-8.4	373226	
-8.2	375479	
-8	375346	
-7.8	374404	
-7.6	373035	
-7.4	373309	
-7.2	371541	
-7	372066	
-6.8	374145	
-6.6	372978	
-6.4	373996	
-6.2	374874	
-6	375603	
-5.8	372682	
-5.6	373135	
-5.4	372930	
-5.2	372634	
-5	372756	
-4.8	377396	
-4.6	365143	
-4.4	371813	
-4.2	369339	
-4	376380	
-3.8	382558	
-3.6	389822	
-3.4	394472	
-3.2	397440	
-3	397666	
-2.8	397060	
-2.6	397975	
-2.4	398715	
-2.2	399838	
-2	397717	
-1.8	399245	
-1.6	399161	
-1.4	401664	
-1.2	396903	
-1	401789	
-0.8	401818	
-0.6	398604	
-0.4	384352	
-0.2	399765	
0	400943	
0.2	400705	
0.4	400201	
0.6	400742	
0.8	399178	
1	403258	
1.2	401027	
1.4	400813	
1.6	401336	
1.8	400343	
2	401768	
2.2	399195	
2.4	404895	
2.6	392050	
2.8	397787	
3	398092	
3.2	393799	
3.4	392733	
3.6	389620	
3.8	382679	
4	402729	
4.2	348940	
4.4	373031	
4.6	372498	
4.8	371738	
5	374222	
5.2	372260	
5.4	373635	
5.6	368378	
5.8	370375	
6	371401	
6.2	371776	
6.4	372862	
6.6	371132	
6.8	371510	
7	386228	
7.2	358185	
7.4	369660	
7.6	370329	
7.8	370569	
8	374994	
8.2	370262	
8.4	374732	
8.6	373469	
8.8	383167	
9	382923	
9.2	363679	
9.4	372019	
9.6	372540	
9.8	372016	
10	372384	
10.2	379368	
10.4	366685	
10.6	373423	
10.8	373978	
11	374002	
11.2	371772	
11.4	372597	
11.6	373365	
11.8	372905	
12	373816	
12.2	372336	
12.4	375217	
12.6	373843	
12.8	374268	
13	372906	
13.2	373298	
13.4	374234	
13.6	376797	
13.8	371533	
14	371933	
14.2	375209	
14.4	373709	
14.6	373520	
14.8	373517	
15	375549	
15.2	373049	
15.4	373708	
15.6	375472	
15.8	373121	
16	376454	
16.2	369542	
16.4	373993	
16.6	374956	
16.8	372576	
17	374251	
17.2	378683	
17.4	372797	
17.6	376402	
17.8	371601	
18	374359	
18.2	374535	
18.4	371905	
18.6	373617	
18.8	374698	
19	372292	
19.2	372736	
19.4	373507	
19.6	371015	
19.8	373010	
20	374079	
