V - Plot 0	PL - Plot 0	
-20	389783	
-19.8	390024	
-19.6	390695	
-19.4	389510	
-19.2	399702	
-19	381612	
-18.8	390977	
-18.6	390132	
-18.4	388661	
-18.2	387021	
-18	390069	
-17.8	389123	
-17.6	394453	
-17.4	385842	
-17.2	392125	
-17	388910	
-16.8	389145	
-16.6	389526	
-16.4	386353	
-16.2	391790	
-16	389083	
-15.8	386583	
-15.6	390996	
-15.4	390753	
-15.2	388199	
-15	389555	
-14.8	389171	
-14.6	388140	
-14.4	389141	
-14.2	389417	
-14	391004	
-13.8	390767	
-13.6	393236	
-13.4	388699	
-13.2	390474	
-13	390578	
-12.8	389495	
-12.6	389490	
-12.4	388620	
-12.2	389273	
-12	390005	
-11.8	390538	
-11.6	389377	
-11.4	391420	
-11.2	393684	
-11	390168	
-10.8	389677	
-10.6	390766	
-10.4	392723	
-10.2	388596	
-10	390920	
-9.8	389016	
-9.6	387306	
-9.4	389951	
-9.2	389567	
-9	389943	
-8.8	391400	
-8.6	390761	
-8.4	389610	
-8.2	388715	
-8	390298	
-7.8	389083	
-7.6	395337	
-7.4	386526	
-7.2	389790	
-7	391847	
-6.8	392899	
-6.6	389581	
-6.4	393515	
-6.2	395346	
-6	392099	
-5.8	389685	
-5.6	388719	
-5.4	389762	
-5.2	390658	
-5	390793	
-4.8	387883	
-4.6	386944	
-4.4	386347	
-4.2	388396	
-4	385904	
-3.8	387071	
-3.6	390582	
-3.4	393195	
-3.2	384112	
-3	391030	
-2.8	390587	
-2.6	395237	
-2.4	397655	
-2.2	399088	
-2	400224	
-1.8	402686	
-1.6	402393	
-1.4	399993	
-1.2	400862	
-1	400354	
-0.8	400751	
-0.6	401861	
-0.4	400998	
-0.2	401528	
0	402768	
0.2	399916	
0.4	399928	
0.6	401395	
0.8	401674	
1	399367	
1.2	401366	
1.4	400966	
1.6	402565	
1.8	400137	
2	399608	
2.2	400172	
2.4	399211	
2.6	395832	
2.8	391118	
3	389212	
3.2	394428	
3.4	386244	
3.6	388467	
3.8	388030	
4	386071	
4.2	386924	
4.4	387220	
4.6	388660	
4.8	389924	
5	389260	
5.2	385878	
5.4	387977	
5.6	387751	
5.8	387472	
6	386706	
6.2	389710	
6.4	396825	
6.6	382885	
6.8	388806	
7	388625	
7.2	388770	
7.4	389540	
7.6	390006	
7.8	387390	
8	390027	
8.2	388839	
8.4	386306	
8.6	389961	
8.8	391993	
9	389817	
9.2	392078	
9.4	406403	
9.6	374187	
9.8	389735	
10	391547	
10.2	390840	
10.4	392390	
10.6	387008	
10.8	393299	
11	386943	
11.2	388403	
11.4	389199	
11.6	391003	
11.8	389970	
12	388185	
12.2	390547	
12.4	389851	
12.6	388354	
12.8	391270	
13	392040	
13.2	390633	
13.4	400696	
13.6	380193	
13.8	392966	
14	388531	
14.2	389541	
14.4	388357	
14.6	389991	
14.8	389004	
15	390044	
15.2	388224	
15.4	390319	
15.6	388107	
15.8	388208	
16	389931	
16.2	391105	
16.4	392913	
16.6	393400	
16.8	392745	
17	394208	
17.2	393240	
17.4	390795	
17.6	391456	
17.8	391208	
18	390567	
18.2	388496	
18.4	390866	
18.6	385786	
18.8	402896	
19	378576	
19.2	387947	
19.4	388269	
19.6	387117	
19.8	388017	
20	387128	
