V - Plot 0	PL - Plot 0	
-20	382862	
-19.8	379895	
-19.6	381122	
-19.4	383957	
-19.2	384657	
-19	380024	
-18.8	382918	
-18.6	383439	
-18.4	382339	
-18.2	382000	
-18	382617	
-17.8	382792	
-17.6	382112	
-17.4	383629	
-17.2	383209	
-17	383910	
-16.8	378206	
-16.6	381085	
-16.4	382006	
-16.2	380292	
-16	381444	
-15.8	383288	
-15.6	383449	
-15.4	383022	
-15.2	384111	
-15	383483	
-14.8	383328	
-14.6	383096	
-14.4	383365	
-14.2	384301	
-14	384044	
-13.8	384675	
-13.6	382907	
-13.4	383786	
-13.2	384956	
-13	385212	
-12.8	386009	
-12.6	385505	
-12.4	385905	
-12.2	382710	
-12	384490	
-11.8	389962	
-11.6	383473	
-11.4	384463	
-11.2	383958	
-11	385196	
-10.8	383074	
-10.6	381276	
-10.4	382062	
-10.2	382655	
-10	383400	
-9.8	382701	
-9.6	382405	
-9.4	382867	
-9.2	386458	
-9	382164	
-8.8	378289	
-8.6	379066	
-8.4	383992	
-8.2	378705	
-8	379836	
-7.8	379349	
-7.6	379665	
-7.4	379663	
-7.2	379706	
-7	379842	
-6.8	378074	
-6.6	380345	
-6.4	377719	
-6.2	377656	
-6	377890	
-5.8	380484	
-5.6	378771	
-5.4	379680	
-5.2	377485	
-5	378453	
-4.8	378731	
-4.6	379282	
-4.4	379434	
-4.2	379270	
-4	379400	
-3.8	382057	
-3.6	382283	
-3.4	382228	
-3.2	392559	
-3	398619	
-2.8	398560	
-2.6	401356	
-2.4	402021	
-2.2	404966	
-2	404148	
-1.8	401998	
-1.6	403786	
-1.4	402960	
-1.2	403219	
-1	404484	
-0.8	404921	
-0.6	404593	
-0.4	404997	
-0.2	404554	
0	404476	
0.2	403699	
0.4	403374	
0.6	403118	
0.8	403261	
1	402230	
1.2	402769	
1.4	402238	
1.6	402411	
1.8	402580	
2	402604	
2.2	400017	
2.4	399361	
2.6	398747	
2.8	396452	
3	392148	
3.2	388863	
3.4	384154	
3.6	379787	
3.8	380467	
4	379848	
4.2	377789	
4.4	379231	
4.6	378749	
4.8	378517	
5	380647	
5.2	380585	
5.4	380915	
5.6	378758	
5.8	380465	
6	386209	
6.2	373863	
6.4	378577	
6.6	378329	
6.8	376891	
7	380120	
7.2	379172	
7.4	379051	
7.6	379219	
7.8	379915	
8	378509	
8.2	380629	
8.4	378855	
8.6	391700	
8.8	371942	
9	380738	
9.2	378447	
9.4	378944	
9.6	378332	
9.8	379017	
10	379981	
10.2	379678	
10.4	375915	
10.6	379449	
10.8	378303	
11	377887	
11.2	378756	
11.4	382012	
11.6	378439	
11.8	381023	
12	378318	
12.2	379026	
12.4	380569	
12.6	381077	
12.8	379175	
13	379951	
13.2	379958	
13.4	377264	
13.6	378579	
13.8	379244	
14	378997	
14.2	378983	
14.4	378684	
14.6	378222	
14.8	379625	
15	376610	
15.2	376736	
15.4	376794	
15.6	376535	
15.8	376010	
16	377055	
16.2	378556	
16.4	376696	
16.6	378231	
16.8	377953	
17	380286	
17.2	376413	
17.4	379063	
17.6	381003	
17.8	382153	
18	373149	
18.2	377024	
18.4	377557	
18.6	379558	
18.8	378069	
19	376451	
19.2	375449	
19.4	376272	
19.6	378639	
19.8	376348	
20	376198	
