Freqency (MHz) - Plot 0	PL - Plot 0	
2820.000	377061	
2821.000	377814	
2822.000	377754	
2823.000	373709	
2824.000	374001	
2825.000	372864	
2826.000	376886	
2827.000	374134	
2828.000	372653	
2829.000	372306	
2830.000	375769	
2831.000	372060	
2832.000	374652	
2833.000	373146	
2834.000	373827	
2835.000	377395	
2836.000	368876	
2837.000	372589	
2838.000	375106	
2839.000	376710	
2840.000	370313	
2841.000	375499	
2842.000	375354	
2843.000	375299	
2844.000	372059	
2845.000	374612	
2846.000	375529	
2847.000	376588	
2848.000	374705	
2849.000	376180	
2850.000	377184	
2851.000	372605	
2852.000	373774	
2853.000	377186	
2854.000	373007	
2855.000	376801	
2856.000	375306	
2857.000	375258	
2858.000	374349	
2859.000	373453	
2860.000	372127	
2861.000	370138	
2862.000	371784	
2863.000	368522	
2864.000	368150	
2865.000	367039	
2866.000	365834	
2867.000	366821	
2868.000	365539	
2869.000	366844	
2870.000	364400	
2871.000	365738	
2872.000	367447	
2873.000	365584	
2874.000	368151	
2875.000	370152	
2876.000	367343	
2877.000	369190	
2878.000	370751	
2879.000	370743	
2880.000	371915	
2881.000	372486	
2882.000	372212	
2883.000	372463	
2884.000	372138	
2885.000	373845	
2886.000	376165	
2887.000	376158	
2888.000	377321	
2889.000	380047	
2890.000	374757	
2891.000	375419	
2892.000	377164	
2893.000	375153	
2894.000	376655	
2895.000	376081	
2896.000	378435	
2897.000	372072	
2898.000	374912	
2899.000	375636	
2900.000	376289	
2901.000	375621	
2902.000	378893	
2903.000	370633	
2904.000	376073	
2905.000	376317	
2906.000	377930	
2907.000	375436	
2908.000	374563	
2909.000	376324	
2910.000	376675	
2911.000	375706	
2912.000	374201	
2913.000	375038	
2914.000	374103	
2915.000	374289	
2916.000	374127	
2917.000	377036	
2918.000	376199	
2919.000	376130	
2920.000	375459	
