V - Plot 0	PL - Plot 0	
-20	461678	
-19.8	460870	
-19.6	460506	
-19.4	460479	
-19.2	461124	
-19	462105	
-18.8	456066	
-18.6	457080	
-18.2	455074	
-18	459139	
-17.8	459879	
-17.6	478527	
-17.4	449549	
-17.2	461156	
-17	460956	
-16.8	461164	
-16.6	461265	
-16.4	480415	
-16.2	448841	
-16	461338	
-15.8	462298	
-15.6	462445	
-15.4	459717	
-15.2	460119	
-15	459979	
-14.8	460185	
-14.6	463598	
-14.4	456714	
-14.2	465037	
-14	453006	
-13.8	460122	
-13.6	460149	
-13.4	459785	
-13.2	459719	
-13	461633	
-12.8	460812	
-12.6	460355	
-12.4	461724	
-12.2	460926	
-12	461540	
-11.8	461481	
-11.6	474055	
-11.4	464719	
-11.2	448687	
-11	472264	
-10.8	453097	
-10.6	462186	
-10.4	462837	
-10.2	461294	
-10	461977	
-9.8	459667	
-9.6	461399	
-9.4	468544	
-9.2	455849	
-9	462681	
-8.8	462792	
-8.6	461756	
-8.4	462449	
-8.2	460569	
-8	462247	
-7.8	463697	
-7.6	463743	
-7.4	462499	
-7.2	461309	
-7	463730	
-6.8	466111	
-6.6	458519	
-6.4	461055	
-6.2	460917	
-6	464635	
-5.8	458879	
-5.6	462396	
-5.4	463894	
-5.2	461385	
-5	462403	
-4.8	463454	
-4.6	463964	
-4.4	462796	
-4.2	462274	
-4	461916	
-3.8	462631	
-3.6	462296	
-3.4	463085	
-3.2	462012	
-3	463669	
-2.8	462411	
-2.6	461815	
-2.4	462833	
-2.2	461645	
-2	461549	
-1.8	463737	
-1.6	458699	
-1.4	463417	
-1.2	457853	
-1	458150	
-0.8	458469	
-0.6	456937	
-0.4	460061	
-0.2	459235	
0	457896	
0.2	460636	
0.4	457712	
0.6	459739	
0.8	460113	
1	460850	
1.2	459467	
1.4	461389	
1.6	462276	
1.8	461885	
2	472215	
2.2	452960	
2.4	457812	
2.6	461781	
2.8	462603	
3	461118	
3.2	459798	
3.4	458689	
3.6	462945	
3.8	461111	
4	461922	
4.2	462335	
4.4	462528	
4.6	460930	
4.8	460625	
5	462446	
5.2	462445	
5.4	464273	
5.6	460900	
5.8	462434	
6	462938	
6.2	460862	
6.4	464182	
6.6	460571	
6.8	462274	
7	458649	
7.2	462762	
7.4	463596	
7.6	462957	
7.8	471127	
8	457765	
8.2	459293	
8.4	463009	
8.6	461769	
8.8	467315	
9	462573	
9.2	464555	
9.4	460988	
9.6	464375	
9.8	466649	
10	460209	
10.2	463587	
10.4	464433	
10.6	464392	
10.8	461583	
11	467858	
11.2	459065	
11.4	462671	
11.6	452919	
11.8	470445	
12	462356	
12.2	462475	
12.4	463335	
12.6	469740	
12.8	458483	
13	466869	
13.2	460208	
13.4	467158	
13.6	459973	
13.8	466256	
14	458363	
14.2	460843	
14.4	461249	
14.6	461065	
14.8	461231	
15	461993	
15.2	465505	
15.4	459269	
15.6	460255	
15.8	462100	
16	463488	
16.2	459018	
16.4	461856	
16.6	460338	
16.8	460747	
17	462490	
17.2	461514	
17.4	460785	
17.6	462636	
17.8	461602	
18	459182	
18.2	461743	
18.4	461213	
18.6	461111	
18.8	460426	
19	462882	
19.2	459869	
19.4	469121	
19.6	451958	
19.8	459151	
20	458938	
