V - Plot 0	PL - Plot 0	
-20	466041	
-19.8	472803	
-19.6	463402	
-19.4	466603	
-19.2	468306	
-19	468075	
-18.8	466737	
-18.6	467251	
-18.4	467272	
-18.2	462530	
-18	465400	
-17.8	465224	
-17.6	469037	
-17.4	463441	
-17.2	465228	
-17	466167	
-16.8	466142	
-16.6	464666	
-16.4	464813	
-16.2	465555	
-16	464670	
-15.8	468252	
-15.6	463242	
-15.4	464435	
-15.2	465437	
-15	465529	
-14.8	465872	
-14.6	467195	
-14.4	463378	
-14.2	475190	
-14	461710	
-13.8	466183	
-13.6	467057	
-13.4	466844	
-13.2	465647	
-13	465904	
-12.8	466305	
-12.6	465837	
-12.4	464892	
-12.2	468786	
-12	458875	
-11.8	463801	
-11.6	462482	
-11.4	464013	
-11.2	464338	
-11	463242	
-10.8	463767	
-10.6	463567	
-10.4	465211	
-10.2	468988	
-10	459197	
-9.8	465960	
-9.6	462483	
-9.4	463324	
-9.2	461174	
-9	462093	
-8.8	463307	
-8.6	462128	
-8.4	462004	
-8.2	462578	
-8	460459	
-7.8	463762	
-7.6	462171	
-7.4	461530	
-7.2	460799	
-7	459920	
-6.8	461020	
-6.6	459571	
-6.4	461674	
-6.2	462077	
-6	461980	
-5.8	464131	
-5.6	460713	
-5.4	464544	
-5.2	462956	
-5	459966	
-4.8	461581	
-4.6	463386	
-4.4	461984	
-4.2	462522	
-4	460481	
-3.8	461858	
-3.6	460330	
-3.4	457659	
-3.2	461542	
-3	458410	
-2.8	457915	
-2.6	458067	
-2.4	458977	
-2.2	457610	
-2	459861	
-1.8	462041	
-1.6	464784	
-1.4	453782	
-1.2	461160	
-1	460339	
-0.8	460582	
-0.6	462288	
-0.4	463798	
-0.2	466420	
0	452215	
0.2	460019	
0.4	458340	
0.6	459852	
0.8	459076	
1	459660	
1.2	459350	
1.4	465240	
1.6	455305	
1.8	461151	
2	463064	
2.2	460209	
2.4	461671	
2.6	463646	
2.8	463765	
3	463065	
3.2	462938	
3.4	464194	
3.6	464585	
3.8	463340	
4	471149	
4.2	457771	
4.4	463748	
4.6	462316	
4.8	463065	
5	463229	
5.2	461186	
5.4	462923	
5.6	462238	
5.8	462402	
6	469290	
6.2	455774	
6.4	461371	
6.6	462746	
6.8	463998	
7	461949	
7.2	462645	
7.4	462624	
7.6	463387	
7.8	462678	
8	463011	
8.2	463723	
8.4	463259	
8.6	463150	
8.8	462614	
9	461742	
9.2	462216	
9.4	461277	
9.6	460205	
9.8	463660	
10	460190	
10.2	461811	
10.4	462926	
10.6	459844	
10.8	461737	
11	461219	
11.2	462732	
11.4	461525	
11.6	463280	
11.8	463271	
12	463377	
12.2	474102	
12.4	455331	
12.6	464621	
12.8	463158	
13	463924	
13.2	462160	
13.4	461149	
13.6	462709	
13.8	465682	
14	463807	
14.2	466111	
14.4	461920	
14.6	471823	
14.8	457540	
15	465482	
15.2	463886	
15.4	466835	
15.6	461394	
15.8	464433	
16	465511	
16.2	463082	
16.4	463563	
16.6	464571	
16.8	463819	
17	466629	
17.2	465663	
17.4	464460	
17.6	464479	
17.8	481850	
18	464444	
18.2	462886	
18.4	465228	
18.6	468502	
18.8	462103	
19	467708	
19.2	466722	
19.4	465449	
19.6	467350	
19.8	462219	
20	465595	
