V - Plot 0	PL - Plot 0	
-20	240707	
-19.8	245232	
-19.6	244083	
-19.4	244139	
-19.2	244595	
-19	246418	
-18.8	237773	
-18.6	242837	
-18.4	242892	
-18.2	242015	
-18	243456	
-17.8	243851	
-17.6	242169	
-17.4	243299	
-17.2	244468	
-17	247641	
-16.8	240555	
-16.6	244950	
-16.4	244011	
-16.2	243871	
-16	243272	
-15.8	243953	
-15.6	241339	
-15.4	243265	
-15.2	243029	
-15	242708	
-14.8	241813	
-14.6	243346	
-14.4	242492	
-14.2	242019	
-14	202820	
-13.8	242287	
-13.6	242524	
-13.4	243064	
-13.2	242317	
-13	242636	
-12.8	241844	
-12.6	243515	
-12.4	242438	
-12.2	242853	
-12	243292	
-11.8	242481	
-11.6	243696	
-11.4	243531	
-11.2	243227	
-11	243988	
-10.8	243101	
-10.6	243175	
-10.4	246019	
-10.2	242678	
-10	243968	
-9.8	242662	
-9.6	241146	
-9.4	242511	
-9.2	242726	
-9	240671	
-8.8	240638	
-8.6	240211	
-8.4	240678	
-8.2	239937	
-8	239629	
-7.8	238411	
-7.6	237534	
-7.4	237247	
-7.2	240706	
-7	234807	
-6.8	235524	
-6.6	234660	
-6.4	235529	
-6.2	236877	
-6	231451	
-5.8	235262	
-5.6	234335	
-5.4	235425	
-5.2	235674	
-5	235267	
-4.8	234516	
-4.6	235886	
-4.4	235122	
-4.2	235066	
-4	242836	
-3.8	230505	
-3.6	235318	
-3.4	233111	
-3.2	234727	
-3	233403	
-2.8	235130	
-2.6	234839	
-2.4	234423	
-2.2	235245	
-2	240377	
-1.8	231864	
-1.6	235362	
-1.4	270277	
-1.2	234749	
-1	195765	
-0.8	235063	
-0.6	235509	
-0.4	233312	
-0.2	233348	
0	236932	
0.2	235536	
0.4	234553	
0.6	236886	
0.8	233609	
1	235569	
1.2	236006	
1.4	239668	
1.6	230969	
1.8	234767	
2	235493	
2.2	233930	
2.4	235309	
2.6	234360	
2.8	230143	
3	239614	
3.2	235770	
3.4	235802	
3.6	235533	
3.8	239062	
4	230527	
4.2	234637	
4.4	233747	
4.6	235043	
4.8	230077	
5	239015	
5.2	233963	
5.4	233349	
5.6	234309	
5.8	234992	
6	233348	
6.2	234614	
6.4	234074	
6.6	234512	
6.8	237700	
7	229579	
7.2	238647	
7.4	234045	
7.6	239806	
7.8	229261	
8	234489	
8.2	234548	
8.4	235715	
8.6	237212	
8.8	235210	
9	236191	
9.2	236661	
9.4	237865	
9.6	236442	
9.8	236582	
10	237752	
10.2	237108	
10.4	238542	
10.6	238264	
10.8	237037	
11	237775	
11.2	238112	
11.4	238886	
11.6	239529	
11.8	240217	
12	241410	
12.2	241452	
12.4	241637	
12.6	242430	
12.8	242762	
13	242209	
13.2	243038	
13.4	243758	
13.6	242316	
13.8	242055	
14	242957	
14.2	246061	
14.4	241886	
14.6	242947	
14.8	242714	
15	242620	
15.2	241755	
15.4	242248	
15.6	242289	
15.8	243994	
16	244302	
16.2	244794	
16.4	245739	
16.6	241940	
16.8	249080	
17	245954	
17.2	245729	
17.4	244511	
17.6	243604	
17.8	247575	
18	244391	
18.2	245272	
18.4	245158	
18.6	243895	
18.8	245469	
19	244147	
19.2	244829	
19.4	245037	
19.6	242388	
19.8	243580	
20	248154	
