Freqency (MHz) - Plot 0	PL - Plot 0	
2820.000	86818.9	
2821.000	86471.3	
2822.000	86942.6	
2823.000	86245.4	
2824.000	86750.9	
2825.000	86712.7	
2826.000	86298.4	
2827.000	86548.7	
2828.000	86528.3	
2829.000	86930.6	
2830.000	88373.1	
2831.000	85101.2	
2832.000	87300.8	
2833.000	85796.9	
2834.000	86424.1	
2835.000	86962.7	
2836.000	86997.3	
2837.000	86586.7	
2838.000	86785.8	
2839.000	86912.3	
2840.000	85943	
2841.000	86801.7	
2842.000	86330	
2843.000	86927.9	
2844.000	87074.4	
2845.000	86310.6	
2846.000	86249.5	
2847.000	86721.6	
2848.000	87002	
2849.000	86366.4	
2850.000	86974.3	
2851.000	86056.5	
2852.000	86030.1	
2853.000	86895.9	
2854.000	86268.3	
2855.000	86016.4	
2856.000	85558.1	
2857.000	86073.5	
2858.000	85945.4	
2859.000	88754.6	
2860.000	83478.2	
2861.000	85183.5	
2862.000	85760.7	
2863.000	85557.8	
2864.000	85500.6	
2865.000	85775.3	
2866.000	85289.1	
2867.000	86015.5	
2868.000	86034.9	
2869.000	85824.2	
2870.000	86302.3	
2871.000	86683	
2872.000	85215.9	
2873.000	85276.3	
2874.000	86032	
2875.000	85267.9	
2876.000	85604.5	
2877.000	85162.1	
2878.000	86000.7	
2879.000	86137.3	
2880.000	86124.4	
2881.000	86097	
2882.000	87152.4	
2883.000	87209.5	
2884.000	86677.3	
2885.000	86006.2	
2886.000	86779.8	
2887.000	86876.9	
2888.000	86311.8	
2889.000	86525.5	
2890.000	86625.3	
2891.000	86558.9	
2892.000	85990.2	
2893.000	86702.5	
2894.000	86853.4	
2895.000	86613.6	
2896.000	86359.8	
2897.000	86131.3	
2898.000	86684.3	
2899.000	86733.2	
2900.000	86701	
2901.000	87019.9	
2902.000	86287.9	
2903.000	86095.6	
2904.000	87200	
2905.000	87058.6	
2906.000	86418.6	
2907.000	86443.7	
2908.000	87146.2	
2909.000	86274	
2910.000	86672.5	
2911.000	87402.7	
2912.000	86295.4	
2913.000	87423	
2914.000	86441.7	
2915.000	85846.9	
2916.000	86349.5	
2917.000	86717.5	
2918.000	86011	
2919.000	86235.7	
2920.000	86736.3	
