V - Plot 0	PL - Plot 0	
-20	115889	
-19.9	116846	
-19.8	114295	
-19.7	114295	
-19.6	115864	
-19.5	115809	
-19.4	116971	
-19.3	117085	
-19.2	116994	
-19.1	112235	
-19	116212	
-18.9	114616	
-18.8	114616	
-18.7	114390	
-18.6	115626	
-18.5	115177	
-18.4	114277	
-18.3	112586	
-18.2	114870	
-18.1	115920	
-18	115920	
-17.9	118156	
-17.8	113254	
-17.7	113365	
-17.6	114217	
-17.5	121969	
-17.4	109283	
-17.3	114592	
-17.2	113553	
-17.1	117228	
-17	117228	
-16.9	114554	
-16.8	115615	
-16.7	115570	
-16.6	114823	
-16.5	113802	
-16.4	113043	
-16.3	115843	
-16.2	115856	
-16.1	115170	
-16	115170	
-15.9	115278	
-15.8	116270	
-15.7	113588	
-15.6	114249	
-15.5	115231	
-15.4	113702	
-15.3	115896	
-15.2	114359	
-15.1	113592	
-15	113592	
-14.9	113572	
-14.8	113434	
-14.7	114667	
-14.6	114262	
-14.5	114601	
-14.4	112026	
-14.3	113936	
-14.2	111543	
-14.1	113079	
-14	113079	
-13.9	112536	
-13.8	112875	
-13.7	113727	
-13.6	113217	
-13.5	112466	
-13.4	112458	
-13.3	111863	
-13.2	111863	
-13.1	112741	
-13	111894	
-12.9	111749	
-12.8	114853	
-12.7	112408	
-12.6	113639	
-12.5	114079	
-12.4	113441	
-12.3	114369	
-12.2	113186	
-12.1	113186	
-12	112750	
-11.9	113878	
-11.8	110585	
-11.7	111470	
-11.6	110499	
-11.5	112061	
-11.4	111724	
-11.3	110355	
-11.2	111681	
-11.1	111681	
-11	111070	
-10.9	111312	
-10.8	110922	
-10.7	111601	
-10.6	111526	
-10.5	110064	
-10.4	110895	
-10.3	115054	
-10.2	106601	
-10.1	106601	
-10	111026	
-9.9	111116	
-9.8	108550	
-9.7	110425	
-9.6	109510	
-9.5	108361	
-9.4	108652	
-9.3	110622	
-9.2	110038	
-9.1	110038	
-9	112608	
-8.9	101433	
-8.8	108102	
-8.7	112896	
-8.6	106314	
-8.5	108918	
-8.4	107341	
-8.3	107341	
-8.2	109315	
-8.1	108475	
-8	109108	
-7.9	109795	
-7.8	104785	
-7.7	107529	
-7.6	107235	
-7.5	108019	
-7.4	105654	
-7.3	109195	
-7.2	107469	
-7.1	107469	
-7	106279	
-6.9	107148	
-6.8	107875	
-6.7	109035	
-6.6	106885	
-6.5	107673	
-6.4	107673	
-6.3	106984	
-6.2	108122	
-6.1	106444	
-6	106370	
-5.9	107379	
-5.8	107749	
-5.7	106153	
-5.6	106153	
-5.5	107484	
-5.4	104515	
-5.3	105262	
-5.2	105886	
-5.1	105666	
-5	104878	
-4.9	105192	
-4.8	105126	
-4.7	105126	
-4.6	107279	
-4.5	105107	
-4.4	107781	
-4.3	105852	
-4.2	106749	
-4.1	105396	
-4	104988	
-3.9	105624	
-3.8	105624	
-3.7	105889	
-3.6	107502	
-3.5	106137	
-3.4	105718	
-3.3	105057	
-3.2	104886	
-3.1	104109	
-3	107349	
-2.9	107349	
-2.8	106668	
-2.7	108449	
-2.6	105892	
-2.5	105780	
-2.4	108432	
-2.3	107183	
-2.2	107517	
-2.1	108745	
-2	108745	
-1.9	112144	
-1.8	102228	
-1.7	107600	
-1.6	105777	
-1.5	105951	
-1.4	104801	
-1.3	105163	
-1.2	106840	
-1.1	106426	
-1	106426	
-0.9	106269	
-0.8	108330	
-0.7	106852	
-0.6	107223	
-0.5	107988	
-0.4	107931	
-0.3	107095	
-0.2	105404	
-0.1	106686	
0	106686	
0.1	107293	
0.2	106434	
0.3	104985	
0.4	106802	
0.5	106580	
0.6	107451	
0.7	105751	
0.8	106137	
0.9	107552	
1	107552	
1.1	107218	
1.2	113875	
1.3	101119	
1.4	104913	
1.5	106429	
1.6	106228	
1.7	106021	
1.8	107038	
1.9	107181	
2	107181	
2.1	107081	
2.2	107482	
2.3	105208	
2.4	106667	
2.5	107599	
2.6	107817	
2.7	107407	
2.8	107407	
2.9	108479	
3	109679	
3.1	107011	
3.2	107342	
3.3	106594	
3.4	105888	
3.5	104861	
3.6	110462	
3.7	101127	
3.8	106360	
3.9	106360	
4	106743	
4.1	106632	
4.2	106824	
4.3	108799	
4.4	110838	
4.5	112480	
4.6	105901	
4.7	105901	
4.8	108271	
4.9	108322	
5	107545	
5.1	108999	
5.2	109472	
5.3	108023	
5.4	109223	
5.5	109243	
5.6	109243	
5.7	106677	
5.8	108385	
5.9	106319	
6	107780	
6.1	106864	
6.2	107924	
6.3	107731	
6.4	107731	
6.5	106429	
6.6	107175	
6.7	106797	
6.8	106438	
6.9	106202	
7	105716	
7.1	106343	
7.2	108052	
7.3	107326	
7.4	107326	
7.5	105933	
7.6	106428	
7.7	103707	
7.8	107351	
7.9	120711	
8	96392.7	
8.1	107511	
8.2	107221	
8.3	109002	
8.4	109002	
8.5	107347	
8.6	106360	
8.7	105088	
8.8	107246	
8.9	104925	
9	104813	
9.1	103899	
9.2	109641	
9.3	109641	
