V - Plot 0	PC - Plot 0	
-20	-6.96322	
-19.9	-6.97756	
-19.8	-6.97756	
-19.7	-6.96929	
-19.6	-6.86906	
-19.5	-6.70896	
-19.4	-6.47961	
-19.3	-6.26606	
-19.2	-6.08175	
-19.1	-5.90144	
-19	-5.74001	
-18.9	-5.62471	
-18.8	-5.52544	
-18.7	-5.43476	
-18.6	-5.43476	
-18.5	-5.33355	
-18.4	-5.25078	
-18.3	-5.18155	
-18.2	-5.10968	
-18.1	-5.01814	
-18	-4.86401	
-17.9	-4.71478	
-17.8	-4.58184	
-17.7	-4.44132	
-17.6	-4.28371	
-17.5	-4.13063	
-17.4	-4.13063	
-17.3	-4.02069	
-17.2	-3.90882	
-17.1	-3.81222	
-17	-3.70353	
-16.9	-3.63284	
-16.8	-3.58992	
-16.7	-3.53895	
-16.6	-3.49126	
-16.5	-3.49126	
-16.4	-3.45217	
-16.3	-3.39519	
-16.2	-3.36444	
-16.1	-3.35348	
-16	-3.3316	
-15.9	-3.29911	
-15.8	-3.21573	
-15.7	-3.11735	
-15.6	-3.11735	
-15.5	-3.00375	
-15.4	-2.9403	
-15.3	-2.88372	
-15.2	-2.80384	
-15.1	-2.72108	
-15	-2.63501	
-14.9	-2.60607	
-14.8	-2.60607	
-14.7	-2.58783	
-14.6	-2.55823	
-14.5	-2.51959	
-14.4	-2.52432	
-14.3	-2.54673	
-14.2	-2.547	
-14.1	-2.49373	
-14	-2.49373	
-13.9	-2.43209	
-13.8	-2.35993	
-13.7	-2.28479	
-13.6	-2.19609	
-13.5	-2.11143	
-13.4	-2.032	
-13.3	-1.943	
-13.2	-1.87181	
-13.1	-1.86696	
-13	-1.87533	
-12.9	-1.87533	
-12.8	-1.8635	
-12.7	-1.80077	
-12.6	-1.74282	
-12.5	-1.73395	
-12.4	-1.76167	
-12.3	-1.79636	
-12.2	-1.81015	
-12.1	-1.81015	
-12	-1.80057	
-11.9	-1.81522	
-11.8	-1.7832	
-11.7	-1.68292	
-11.6	-1.61229	
-11.5	-1.56161	
-11.4	-1.52208	
-11.3	-1.45572	
-11.2	-1.45572	
-11.1	-1.38194	
-11	-1.35587	
-10.9	-1.38809	
-10.8	-1.4376	
-10.7	-1.46841	
-10.6	-1.46211	
-10.5	-1.4328	
-10.4	-1.4328	
-10.3	-1.38813	
-10.2	-1.3559	
-10.1	-1.34712	
-10	-1.23803	
-9.9	-1.18151	
-9.8	-1.27247	
-9.7	-1.3325	
-9.6	-1.33181	
-9.5	-1.33181	
-9.4	-1.27367	
-9.3	-1.21722	
-9.2	-1.16867	
-9.1	-1.1634	
-9	-1.16843	
-8.9	-1.16024	
-8.8	-1.17199	
-8.7	-1.16078	
-8.6	-1.13723	
-8.5	-1.10097	
-8.4	-1.10097	
-8.3	-1.08493	
-8.2	-1.10369	
-8.1	-1.10654	
-8	-1.11548	
-7.9	-1.11348	
-7.8	-1.07337	
-7.7	-1.01845	
-7.6	-1.00226	
-7.5	-1.00226	
-7.4	-1.04909	
-7.3	-1.07265	
-7.2	-1.067	
-7.1	-1.10189	
-7	-1.14763	
-6.9	-1.15274	
-6.8	-1.12839	
-6.7	-1.10278	
-6.6	-1.07806	
-6.5	-1.08744	
-6.4	-1.08636	
-6.3	-1.06407	
-6.2	-1.06407	
-6.1	-1.03717	
-6	-1.0524	
-5.9	-1.1051	
-5.8	-1.11957	
-5.7	-1.08686	
-5.6	-1.01723	
-5.5	-0.993249	
-5.4	-1.03923	
-5.3	-1.03923	
-5.2	-1.08271	
-5.1	-1.07756	
-5	-1.01239	
-4.9	-0.969163	
-4.8	-0.941704	
-4.7	-0.947058	
-4.6	-0.937727	
-4.5	-0.929788	
-4.4	-0.929788	
-4.3	-0.944733	
-4.2	-0.929657	
-4.1	-0.905522	
-4	-0.883533	
-3.9	-0.848751	
-3.8	-0.850661	
-3.7	-0.844993	
-3.6	-0.848956	
-3.5	-0.848956	
-3.4	-0.829679	
-3.3	-0.80104	
-3.2	-0.798279	
-3.1	-0.802735	
-3	-0.805345	
-2.9	-0.826021	
-2.8	-0.803457	
-2.7	-0.791999	
-2.6	-0.791999	
-2.5	-0.765206	
-2.4	-0.772024	
-2.3	-0.768789	
-2.2	-0.724706	
-2.1	-0.699168	
-2	-0.700786	
-1.9	-0.716199	
-1.8	-0.699226	
-1.7	-0.663502	
-1.6	-0.663502	
-1.5	-0.628238	
-1.4	-0.601227	
-1.3	-0.57261	
-1.2	-0.535843	
-1.1	-0.514367	
-1	-0.479158	
-0.9	-0.480775	
-0.8	-0.482739	
-0.7	-0.474127	
-0.6	-0.46419	
-0.5	-0.46419	
-0.4	-0.458981	
-0.3	-0.436185	
-0.2	-0.389565	
-0.1	-0.339036	
0	-0.273571	
0.1	-0.223851	
0.2	-0.156315	
0.3	0.0351763	
0.4	0.27876	
0.5	0.443668	
0.6	0.443668	
0.7	0.517787	
0.8	0.588016	
0.9	0.691562	
1	0.807754	
1.1	0.889457	
1.2	0.937545	
1.3	0.947468	
1.4	0.947468	
1.5	0.957372	
1.6	0.942385	
1.7	0.935524	
1.8	0.98578	
1.9	1.04858	
2	1.08602	
2.1	1.10126	
2.2	1.10605	
2.3	1.10305	
2.4	1.09705	
2.5	1.09705	
2.6	1.11817	
2.7	1.13406	
2.8	1.11519	
2.9	1.08827	
3	1.0805	
3.1	1.09326	
3.2	1.11786	
3.3	1.14453	
3.4	1.16419	
3.5	1.17573	
3.6	1.17573	
3.7	1.17661	
3.8	1.15401	
3.9	1.13665	
4	1.14289	
4.1	1.16291	
4.2	1.17023	
4.3	1.13602	
4.4	1.13602	
4.5	1.12411	
4.6	1.13558	
4.7	1.16301	
4.8	1.18562	
4.9	1.18466	
5	1.20519	
5.1	1.25708	
5.2	1.2945	
5.3	1.32729	
5.4	1.32729	
5.5	1.35567	
5.6	1.4025	
5.7	1.46884	
5.8	1.49329	
5.9	1.47764	
6	1.46848	
6.1	1.46145	
6.2	1.44722	
6.3	1.4225	
6.4	1.39822	
6.5	1.39822	
6.6	1.40082	
6.7	1.42149	
6.8	1.42633	
6.9	1.41483	
7	1.42421	
7.1	1.42108	
7.2	1.4252	
7.3	1.46426	
7.4	1.50347	
7.5	1.4973	
7.6	1.4973	
7.7	1.44288	
7.8	1.39368	
7.9	1.41724	
8	1.40399	
8.1	1.42445	
8.2	1.47053	
8.3	1.48323	
8.4	1.48323	
8.5	1.49333	
8.6	1.50616	
8.7	1.52514	
8.8	1.5769	
8.9	1.66453	
9	1.68899	
9.1	1.69133	
9.2	1.70099	
9.3	1.70209	
9.4	1.6853	
9.5	1.6853	
9.6	1.65624	
9.7	1.63313	
9.8	1.60591	
9.9	1.63629	
10	1.649	
10.1	1.63468	
10.2	1.6517	
10.3	1.65603	
10.4	1.66983	
10.5	1.66983	
10.6	1.63938	
10.7	1.63072	
10.8	1.64529	
10.9	1.66039	
11	1.72224	
11.1	1.78836	
11.2	1.84508	
11.3	1.88409	
11.4	1.88409	
11.5	1.88772	
11.6	1.90361	
11.7	1.93945	
11.8	1.94628	
11.9	1.98794	
12	2.01736	
12.1	2.05339	
12.2	2.07796	
12.3	2.10064	
12.4	2.12986	
12.5	2.12986	
12.6	2.13283	
12.7	2.1783	
12.8	2.20038	
12.9	2.2252	
13	2.24804	
13.1	2.2274	
13.2	2.21161	
13.3	2.21161	
13.4	2.21045	
13.5	2.20512	
13.6	2.21321	
13.7	2.24241	
13.8	2.26418	
13.9	2.30754	
14	2.30754	
14.1	2.34875	
14.2	2.37364	
14.3	2.38073	
14.4	2.38357	
14.5	2.37299	
14.6	2.39067	
14.7	2.46251	
14.8	2.46251	
