V - Plot 0	PC - Plot 0	
-20	-0.620735	
-19.9	-0.581678	
-19.8	-0.581678	
-19.7	-0.581633	
-19.6	-0.549158	
-19.5	-0.507618	
-19.4	-0.463563	
-19.3	-0.431847	
-19.2	-0.412786	
-19.1	-0.396702	
-19	-0.366963	
-18.9	-0.33768	
-18.8	-0.334083	
-18.7	-0.36085	
-18.6	-0.371368	
-18.5	-0.371368	
-18.4	-0.397514	
-18.3	-0.427377	
-18.2	-0.428324	
-18.1	-0.39843	
-18	-0.391262	
-17.9	-0.435115	
-17.8	-0.445932	
-17.7	-0.420109	
-17.6	-0.391082	
-17.5	-0.351504	
-17.4	-0.351504	
-17.3	-0.311682	
-17.2	-0.330124	
-17.1	-0.331737	
-17	-0.337387	
-16.9	-0.34492	
-16.8	-0.328815	
-16.7	-0.328657	
-16.6	-0.336651	
-16.5	-0.34352	
-16.4	-0.349056	
-16.3	-0.349056	
-16.2	-0.338442	
-16.1	-0.309177	
-16	-0.305867	
-15.9	-0.341492	
-15.8	-0.353276	
-15.7	-0.378764	
-15.6	-0.373246	
-15.5	-0.37032	
-15.4	-0.335608	
-15.3	-0.335608	
-15.2	-0.30669	
-15.1	-0.291623	
-15	-0.319341	
-14.9	-0.346753	
-14.8	-0.350996	
-14.7	-0.372183	
-14.6	-0.389248	
-14.5	-0.387167	
-14.4	-0.351668	
-14.3	-0.351668	
-14.2	-0.349419	
-14.1	-0.342095	
-14	-0.292419	
-13.9	-0.248642	
-13.8	-0.230167	
-13.7	-0.227124	
-13.6	-0.209306	
-13.5	-0.22088	
-13.4	-0.212818	
-13.3	-0.212818	
-13.2	-0.190101	
-13.1	-0.178071	
-13	-0.179276	
-12.9	-0.188468	
-12.8	-0.192128	
-12.7	-0.184641	
-12.6	-0.174676	
-12.5	-0.180849	
-12.4	-0.174653	
-12.3	-0.174653	
-12.2	-0.16953	
-12.1	-0.171512	
-12	-0.169515	
-11.9	-0.177363	
-11.8	-0.197839	
-11.7	-0.201478	
-11.6	-0.179716	
-11.5	-0.178657	
-11.4	-0.157906	
-11.3	-0.157906	
-11.2	-0.147442	
-11.1	-0.131938	
-11	-0.0877972	
-10.9	-0.0387885	
-10.8	-0.00190962	
-10.7	0.00577158	
-10.6	0.0243457	
-10.5	0.0418513	
-10.4	0.0316746	
-10.3	0.0316746	
-10.2	0.0623497	
-10.1	0.112973	
-10	0.170686	
-9.9	0.197399	
-9.8	0.160943	
-9.7	0.127724	
-9.6	0.160382	
-9.5	0.191767	
-9.4	0.220025	
-9.3	0.220025	
-9.2	0.229911	
-9.1	0.223581	
-9	0.232192	
-8.9	0.201454	
-8.8	0.143045	
-8.7	0.101614	
-8.6	0.101614	
-8.5	0.118933	
-8.4	0.120217	
-8.3	0.0912231	
-8.2	0.0691103	
-8.1	0.0859643	
-8	0.102879	
-7.9	0.106328	
-7.8	0.105394	
-7.7	0.105394	
-7.6	0.103134	
-7.5	0.104146	
-7.4	0.0839326	
-7.3	0.0975641	
-7.2	0.132248	
-7.1	0.0892802	
-7	0.0397089	
-6.9	0.0397089	
-6.8	0.0306705	
-6.7	0.00986151	
-6.6	0.0019666	
-6.5	0.0293132	
-6.4	0.0386896	
-6.3	0.124526	
-6.2	0.18057	
-6.1	0.18057	
-6	0.167526	
-5.9	0.146262	
-5.8	0.0928782	
-5.7	0.030102	
-5.6	-0.011781	
-5.5	-0.0538122	
-5.4	-0.0862424	
-5.3	-0.0495819	
-5.2	-0.0166079	
-5.1	-0.0198166	
-5	-0.0198166	
-4.9	-0.0419749	
-4.8	-0.0550359	
-4.7	-0.0358696	
-4.6	-0.0541595	
-4.5	-0.0687892	
-4.4	-0.0553192	
-4.3	-0.023253	
-4.2	-0.023253	
-4.1	0.0103277	
-4	0.0206245	
-3.9	0.00139956	
-3.8	-0.000184796	
-3.7	0.0288878	
-3.6	0.0666472	
-3.5	0.0851265	
-3.4	0.0698998	
-3.3	0.0537269	
-3.2	0.0657782	
-3.1	0.0683148	
-3	0.0683148	
-2.9	0.0602584	
-2.8	0.0602584	
-2.7	0.0821819	
-2.6	0.0813857	
-2.5	0.0739812	
-2.4	0.0397116	
-2.3	0.0425281	
-2.2	0.0579215	
-2.1	0.0891041	
-2	0.119603	
-1.9	0.123198	
-1.8	0.123198	
-1.7	0.143534	
-1.6	0.142551	
-1.5	0.15002	
-1.4	0.146477	
-1.3	0.139895	
-1.2	0.158176	
-1.1	0.132854	
-1	0.132854	
-0.9	0.085362	
-0.8	0.0487784	
-0.7	0.0265584	
-0.6	-0.000619558	
-0.5	-0.0327084	
-0.4	-0.029529	
-0.3	-0.0245205	
-0.2	-0.0320478	
-0.1	-0.019045	
0	-0.019045	
0.1	0.00506172	
0.2	0.00620466	
0.3	0.010024	
0.4	0.0157619	
0.5	0.0449338	
0.6	0.0795716	
0.7	0.118952	
0.8	0.151013	
0.9	0.160402	
1	0.160402	
1.1	0.182702	
1.2	0.163354	
1.3	0.145629	
1.4	0.123981	
1.5	0.122795	
1.6	0.124738	
1.7	0.0964287	
1.8	0.0673344	
1.9	0.112163	
2	0.112163	
