V - Plot 0	PC - Plot 0	
-20	-11.3398	
-19.9	-11.2293	
-19.8	-11.2293	
-19.7	-11.093	
-19.6	-10.9009	
-19.5	-10.6406	
-19.4	-10.3485	
-19.3	-10.1305	
-19.2	-9.92059	
-19.1	-9.712	
-19	-9.52539	
-18.9	-9.36323	
-18.8	-9.2281	
-18.7	-9.2281	
-18.6	-9.07968	
-18.5	-8.95897	
-18.4	-8.79927	
-18.3	-8.65508	
-18.2	-8.51848	
-18.1	-8.3663	
-18	-8.22968	
-17.9	-8.10386	
-17.8	-7.99503	
-17.7	-7.89904	
-17.6	-7.89904	
-17.5	-7.75707	
-17.4	-7.62774	
-17.3	-7.53226	
-17.2	-7.41039	
-17.1	-7.29982	
-17	-7.20469	
-16.9	-7.13702	
-16.8	-7.09233	
-16.7	-7.01405	
-16.6	-7.01405	
-16.5	-6.91291	
-16.4	-6.79912	
-16.3	-6.66493	
-16.2	-6.60379	
-16.1	-6.52654	
-16	-6.4378	
-15.9	-6.37453	
-15.8	-6.27857	
-15.7	-6.18682	
-15.6	-6.10045	
-15.5	-6.10045	
-15.4	-6.03216	
-15.3	-5.9793	
-15.2	-5.93102	
-15.1	-5.89462	
-15	-5.85221	
-14.9	-5.78148	
-14.8	-5.72343	
-14.7	-5.68798	
-14.6	-5.64435	
-14.5	-5.64435	
-14.4	-5.57172	
-14.3	-5.47507	
-14.2	-5.44275	
-14.1	-5.39703	
-14	-5.35599	
-13.9	-5.30719	
-13.8	-5.24806	
-13.7	-5.22761	
-13.6	-5.19182	
-13.5	-5.12906	
-13.4	-5.12906	
-13.3	-5.04932	
-13.2	-5.01635	
-13.1	-5.0108	
-13	-4.98927	
-12.9	-4.97023	
-12.8	-4.95774	
-12.7	-4.93028	
-12.6	-4.88919	
-12.5	-4.81824	
-12.4	-4.81824	
-12.3	-4.73236	
-12.2	-4.66368	
-12.1	-4.60503	
-12	-4.56943	
-11.9	-4.51867	
-11.8	-4.46159	
-11.7	-4.45385	
-11.6	-4.45024	
-11.5	-4.4044	
-11.4	-4.31633	
-11.3	-4.28867	
-11.2	-4.28867	
-11.1	-4.29975	
-11	-4.30212	
-10.9	-4.24519	
-10.8	-4.19043	
-10.7	-4.1641	
-10.6	-4.17508	
-10.5	-4.21006	
-10.4	-4.22265	
-10.3	-4.2236	
-10.2	-4.19348	
-10.1	-4.19348	
-10	-4.10929	
-9.9	-4.04999	
-9.8	-4.02068	
-9.7	-3.99645	
-9.6	-4.0162	
-9.5	-4.0081	
-9.4	-3.95425	
-9.3	-3.91501	
-9.2	-3.91501	
-9.1	-3.86412	
-9	-3.84318	
-8.9	-3.81968	
-8.8	-3.79018	
-8.7	-3.77966	
-8.6	-3.74357	
-8.5	-3.71721	
-8.4	-3.71966	
-8.3	-3.74038	
-8.2	-3.74038	
-8.1	-3.74968	
-8	-3.7324	
-7.9	-3.72102	
-7.8	-3.68822	
-7.7	-3.64661	
-7.6	-3.63652	
-7.5	-3.59308	
-7.4	-3.58627	
-7.3	-3.58627	
-7.2	-3.61122	
-7.1	-3.63174	
-7	-3.6364	
-6.9	-3.62648	
-6.8	-3.60206	
-6.7	-3.58853	
-6.6	-3.5635	
-6.5	-3.5635	
-6.4	-3.5332	
-6.3	-3.50776	
-6.2	-3.52264	
-6.1	-3.54979	
-6	-3.55193	
-5.9	-3.52621	
-5.8	-3.5275	
-5.7	-3.52622	
-5.6	-3.52622	
-5.5	-3.52745	
-5.4	-3.51949	
-5.3	-3.53837	
-5.2	-3.50216	
-5.1	-3.41439	
-5	-3.34012	
-4.9	-3.28311	
-4.8	-3.22408	
-4.7	-3.19167	
-4.6	-3.19167	
-4.5	-3.18646	
-4.4	-3.17139	
-4.3	-3.13965	
-4.2	-3.12343	
-4.1	-3.12249	
-4	-3.09399	
-3.9	-3.08689	
-3.8	-3.07513	
-3.7	-3.06434	
-3.6	-3.06434	
-3.5	-3.05648	
-3.4	-3.04832	
-3.3	-3.05023	
-3.2	-3.04657	
-3.1	-3.0156	
-3	-2.98899	
-2.9	-2.97614	
-2.8	-2.96109	
-2.7	-2.9291	
-2.6	-2.93437	
-2.5	-2.93437	
-2.4	-2.94612	
-2.3	-2.91954	
-2.2	-2.88051	
-2.1	-2.883	
-2	-2.90665	
-1.9	-2.90258	
-1.8	-2.85811	
-1.7	-2.82358	
-1.6	-2.80617	
-1.5	-2.83479	
-1.4	-2.84196	
-1.3	-2.84196	
-1.2	-2.86336	
-1.1	-2.88574	
-1	-2.90391	
-0.9	-2.92234	
-0.8	-2.94966	
-0.7	-2.96578	
-0.6	-2.96549	
-0.5	-2.93933	
-0.4	-2.87094	
-0.3	-2.87094	
-0.2	-2.80789	
-0.1	-2.68513	
0	-2.53354	
0.1	-2.26359	
0.2	-1.72445	
0.3	-0.833415	
0.4	0.214518	
0.5	1.25761	
0.6	2.05801	
0.7	2.52956	
0.8	2.80551	
0.9	3.01036	
1	3.22683	
1.1	3.42802	
1.2	3.42802	
1.3	3.53574	
1.4	3.64039	
1.5	3.74013	
1.6	3.85124	
1.7	3.92356	
1.8	3.93656	
1.9	3.92587	
2	3.92115	
2.1	3.92115	
2.2	3.91826	
2.3	3.90736	
2.4	3.89869	
2.5	3.91174	
2.6	3.93837	
2.7	3.98718	
2.8	4.07865	
2.9	4.17128	
3	4.17128	
3.1	4.24197	
3.2	4.30187	
3.3	4.33921	
3.4	4.34806	
3.5	4.36414	
3.6	4.42564	
3.7	4.46629	
3.8	4.56104	
3.9	4.56104	
4	4.5454	
4.1	4.53331	
4.2	4.56505	
4.3	4.61042	
4.4	4.6845	
4.5	4.7613	
4.6	4.7613	
4.7	4.80791	
4.8	4.80804	
4.9	4.85231	
5	4.89504	
5.1	4.90279	
5.2	4.88404	
5.3	4.84087	
5.4	4.83014	
5.5	4.83014	
5.6	4.86829	
5.7	4.91448	
5.8	4.93003	
5.9	4.90235	
6	4.85915	
6.1	4.85628	
6.2	4.87562	
6.3	4.87562	
6.4	4.92764	
6.5	4.9993	
6.6	5.0796	
6.7	5.15576	
6.8	5.21328	
6.9	5.22412	
7	5.21332	
7.1	5.21332	
7.2	5.21189	
7.3	5.2335	
7.4	5.2678	
7.5	5.29917	
7.6	5.33346	
7.7	5.35727	
7.8	5.34897	
7.9	5.32687	
8	5.32687	
8.1	5.29737	
8.2	5.30068	
8.3	5.34283	
8.4	5.41202	
8.5	5.50409	
8.6	5.56028	
8.7	5.60561	
8.8	5.60561	
8.9	5.62794	
9	5.67258	
9.1	5.70746	
9.2	5.71626	
9.3	5.73035	
9.4	5.79425	
9.5	5.88461	
9.6	5.94899	
9.7	6.00236	
9.8	6.00236	
9.9	6.06617	
10	6.0903	
10.1	6.07417	
10.2	6.04404	
10.3	6.0583	
10.4	6.09287	
10.5	6.16081	
10.6	6.25233	
10.7	6.25233	
10.8	6.40862	
10.9	6.40862	
11	6.49287	
11.1	6.56608	
11.2	6.63099	
11.3	6.67562	
11.4	6.7505	
11.5	6.83353	
11.6	6.9236	
11.7	7.04649	
11.8	7.15012	
11.9	7.15012	
12	7.22499	
12.1	7.28829	
12.2	7.36405	
12.3	7.44297	
12.4	7.50339	
12.5	7.58821	
12.6	7.69001	
12.7	7.79851	
12.8	7.79851	
12.9	7.91625	
13	8.03477	
13.1	8.16791	
13.2	8.27655	
13.3	8.39611	
13.4	8.56079	
13.5	8.74916	
13.6	8.74916	
13.7	8.94693	
13.8	9.11765	
13.9	9.26433	
14	9.40999	
14.1	9.62183	
14.2	9.86946	
14.3	10.0611	
14.4	10.2205	
14.5	10.4241	
14.6	10.4241	
14.7	10.6223	
14.8	10.8197	
14.9	11.0297	
15	11.2619	
15.1	11.5126	
15.2	11.7912	
15.3	12.0616	
15.4	12.2721	
15.5	12.4994	
15.6	12.8181	
15.7	13.1122	
15.8	13.398	
15.9	13.398	
16	13.6768	
16.1	13.9997	
16.2	14.3681	
16.3	14.7241	
16.4	15.0306	
16.5	15.3455	
16.6	15.6936	
16.7	16.0592	
16.8	16.4556	
16.9	16.8395	
17	16.8395	
17.1	17.2505	
17.2	17.6	
17.3	17.9732	
17.4	18.3969	
17.5	18.8593	
17.6	19.3236	
17.7	19.8022	
