V - Plot 0	PL - Plot 0	
-20	89198.4	
-19.9	89198.4	
-19.8	88390.2	
-19.7	88641.7	
-19.6	90065.1	
-19.5	89960.2	
-19.4	88360	
-19.3	88307.8	
-19.2	88307.8	
-19.1	89270.8	
-19	87574.8	
-18.9	95882.1	
-18.8	84691	
-18.7	88217.8	
-18.6	87355.8	
-18.5	88279.3	
-18.4	88223	
-18.3	88498.9	
-18.2	87813.6	
-18.1	87993.5	
-18	87993.5	
-17.9	88963.2	
-17.8	88216	
-17.7	89400.6	
-17.6	87926.3	
-17.5	89284.1	
-17.4	88652.8	
-17.3	88571	
-17.2	88813.4	
-17.1	88990.9	
-17	87797.3	
-16.9	87797.3	
-16.8	88356.2	
-16.7	88249.1	
-16.6	87736.9	
-16.5	87047.7	
-16.4	90263.2	
-16.3	89518.8	
-16.2	87475.9	
-16.1	90496.4	
-16	88015.6	
-15.9	88015.6	
-15.8	89450	
-15.7	88911.7	
-15.6	88912.8	
-15.5	88461.7	
-15.4	89772.1	
-15.3	87070.2	
-15.2	88955.6	
-15.1	89009.6	
-15	89037.7	
-14.9	89037.7	
-14.8	90033.5	
-14.7	90135.4	
-14.6	87986.4	
-14.5	89161.1	
-14.4	94273.6	
-14.3	86267.5	
-14.2	87923.9	
-14.1	88327.4	
-14	86997.7	
-13.9	88011	
-13.8	92008	
-13.7	92008	
-13.6	87408.9	
-13.5	87691.1	
-13.4	88554.5	
-13.3	88802.9	
-13.2	87413.2	
-13.1	89585	
-13	87271.6	
-12.9	87271.6	
-12.8	89286.4	
-12.7	89370.7	
-12.6	88963.5	
-12.5	87909	
-12.4	89220.8	
-12.3	89510.6	
-12.2	89457.9	
-12.1	87898	
-12	90060.2	
-11.9	89822.1	
-11.8	89822.1	
-11.7	87645	
-11.6	88663.2	
-11.5	88223.2	
-11.4	88280.9	
-11.3	88591.6	
-11.2	88591.6	
-11.1	87128.5	
-11	89290.7	
-10.9	88051.7	
-10.8	90049.2	
-10.7	88812.1	
-10.6	90130.3	
-10.5	87632	
-10.4	90576.7	
-10.3	89353.9	
-10.2	89353.9	
-10.1	89117.3	
-10	89029.2	
-9.9	89360.8	
-9.8	90741	
-9.7	90555.5	
-9.6	90259.2	
-9.5	90523	
-9.4	89518.5	
-9.3	98564.6	
-9.2	84550	
-9.1	89153.5	
-9	89153.5	
-8.9	91268.8	
-8.8	90471.4	
-8.7	90733.3	
-8.6	90053.1	
-8.5	88095.8	
-8.4	88448.1	
-8.3	89328.6	
-8.2	89564.5	
-8.1	88369.2	
-8	88369.2	
-7.9	89793.9	
-7.8	87900.9	
-7.7	87630.9	
-7.6	87307.3	
-7.5	90028.6	
-7.4	90474.8	
-7.3	88692.8	
-7.2	98277.7	
-7.1	84316.5	
-7	88437.4	
-6.9	88437.4	
-6.8	87052.5	
-6.7	89519.9	
-6.6	90800.6	
-6.5	89348.1	
-6.4	87695.8	
-6.3	90008.2	
-6.2	90247.8	
-6.1	88335	
-6	90071	
-5.9	87481.2	
-5.8	87481.2	
-5.7	90835.7	
-5.6	88134	
-5.5	88388.6	
-5.4	90341.7	
-5.3	88745.5	
-5.2	89228.4	
-5.1	88762.5	
-5	90687.5	
-4.9	90118	
-4.8	90118	
-4.7	89005	
-4.6	87996.8	
-4.5	88718.7	
-4.4	89863.9	
-4.3	89892.6	
-4.2	88011.9	
-4.1	94546.5	
-4	83756	
-3.9	88339.7	
-3.8	88339.7	
-3.7	89594.8	
-3.6	88270.2	
-3.5	90101	
-3.4	89725.2	
-3.3	87779.4	
-3.2	88259	
-3.1	88583.8	
-3	87249.5	
-2.9	88533.3	
-2.8	88533.3	
-2.7	87634.1	
-2.6	88361.2	
-2.5	90191.3	
-2.4	89800.9	
-2.3	86984.9	
-2.2	88452.8	
-2.1	88452.8	
-2	86764.8	
-1.9	87139.3	
-1.8	87608.9	
-1.7	85837.7	
-1.6	84410.5	
-1.5	87730.8	
-1.4	84491.6	
-1.3	85376.8	
-1.2	85376.8	
-1.1	86678	
-1	86683.7	
-0.9	85900.8	
-0.8	91534.5	
-0.7	81230	
-0.6	85853.7	
-0.5	87191.2	
-0.4	86909.9	
-0.3	85698	
-0.2	86113.9	
-0.1	86113.9	
0	86872.8	
0.1	85675.5	
0.2	85461.4	
0.3	88131.4	
0.4	87337.2	
0.5	89812.4	
0.6	86487.3	
0.7	86487.3	
0.8	85846.7	
0.9	87507.9	
1	85587.2	
1.1	85275.2	
1.2	86360.2	
1.3	85294.3	
1.4	86489.3	
1.5	87657	
1.6	87657	
1.7	87473.5	
1.8	86808.2	
1.9	86839.2	
2	87047.2	
2.1	87439.9	
2.2	84930.7	
2.3	86927	
2.4	84917.6	
2.5	87333.5	
2.6	87333.5	
2.7	85511.5	
2.8	87027.1	
2.9	87750.5	
3	88258	
3.1	89929.6	
3.2	88555.3	
3.3	86554.7	
3.4	86356.3	
3.5	88671.3	
3.6	88671.3	
3.7	86470.2	
3.8	88429.5	
3.9	87705.7	
4	86737.2	
4.1	88586.8	
4.2	87700.7	
4.3	88781.8	
4.4	88103.3	
4.5	88103.3	
4.6	88908.9	
4.7	88571.7	
4.8	88833.5	
4.9	88019.2	
5	88706.7	
5.1	87970.5	
5.2	90238.8	
5.3	88094	
5.4	88064.5	
5.5	88064.5	
5.6	98545.8	
5.7	76888.4	
5.8	89340.5	
5.9	88663.2	
6	89606.2	
6.1	89284.5	
6.2	87131	
6.3	87545.1	
6.4	88280.8	
6.5	87399.5	
6.6	87399.5	
6.7	90553.9	
6.8	90587.6	
6.9	87778.1	
7	88775.2	
7.1	89258.4	
7.2	90467	
7.3	89459.1	
7.4	89908.7	
7.5	89908.7	
7.6	89076.6	
7.7	86928	
7.8	89877.1	
7.9	89289.2	
8	89797.1	
8.1	88675.2	
8.2	88381.5	
8.3	89486	
8.4	89272.2	
8.5	89272.2	
8.6	88937.4	
8.7	88267.4	
8.8	88049.3	
8.9	93079.2	
9	85390.9	
9.1	87843.4	
9.2	87814.5	
9.3	88274.4	
9.4	88274.4	
9.5	86919.1	
9.6	87813.3	
9.7	88039.6	
9.8	88345.1	
9.9	88133.9	
10	89561.9	
10.1	87179	
10.2	87179	
10.3	87840.7	
10.4	88540.1	
10.5	89256.9	
10.6	88576.4	
10.7	90301.8	
10.8	89693.6	
10.9	88900.2	
11	87916.9	
11.1	88379.1	
11.2	89961.9	
11.3	89961.9	
11.4	88650.2	
11.5	88725.9	
11.6	89422.1	
11.7	89075.7	
11.8	89987.4	
11.9	89068.5	
12	89243.4	
12.1	89464.6	
12.2	89681.4	
12.3	89941.1	
12.4	89941.1	
12.5	87938.6	
12.6	88806.8	
12.7	88905.6	
12.8	89403.5	
12.9	88137.7	
13	87220.4	
13.1	88025.6	
13.2	88422.4	
13.3	88422.4	
13.4	87891.7	
13.5	88562.8	
13.6	89133	
13.7	87459.3	
13.8	88387.4	
13.9	87187.4	
14	87760.5	
14.1	87380.6	
14.2	87380.6	
14.3	89181.8	
