V - Plot 0	PC - Plot 0	
8	0.709593	
8.1	0.740561	
8.2	0.71082	
8.3	0.664866	
8.4	0.664866	
8.5	0.65766	
8.6	0.676909	
8.7	0.701588	
8.8	0.716503	
8.9	0.731113	
9	0.721196	
9.1	0.716493	
9.2	0.737007	
9.3	0.76387	
9.4	0.772975	
9.5	0.772975	
9.6	0.76463	
9.7	0.787367	
9.8	0.762246	
9.9	0.752218	
10	0.737135	
10.1	0.7413	
10.2	0.741146	
10.3	0.725532	
10.4	0.710912	
10.5	0.710912	
10.6	0.693023	
10.7	0.682977	
10.8	0.669801	
10.9	0.677134	
11	0.678624	
11.1	0.685039	
11.2	0.688956	
11.3	0.647289	
11.4	0.647289	
11.5	0.603536	
11.6	0.534829	
11.7	0.503772	
11.8	0.546569	
11.9	0.500095	
12	0.462256	
12.1	0.470548	
12.2	0.557394	
12.3	0.602699	
12.4	0.570598	
12.5	0.569538	
12.6	0.569538	
12.7	0.623223	
12.8	0.680731	
12.9	0.703028	
13	0.693559	
13.1	0.667185	
13.2	0.684653	
13.3	0.667067	
13.4	0.667067	
13.5	0.608659	
13.6	0.499222	
13.7	0.484375	
13.8	0.498467	
13.9	0.546605	
14	0.569516	
14.1	0.600241	
14.2	0.63694	
14.3	0.63694	
14.4	0.749041	
14.5	0.833897	
14.6	0.690867	
14.7	0.556616	
14.8	0.539706	
14.9	0.587196	
15	0.65402	
15.1	0.685956	
15.2	0.685956	
15.3	0.708718	
15.4	0.737375	
15.5	0.75332	
15.6	0.732263	
15.7	0.698208	
15.8	0.705967	
15.9	0.779599	
16	0.864697	
16.1	0.903937	
16.2	0.903937	
16.3	0.903724	
16.4	0.885587	
16.5	0.853895	
16.6	0.817542	
16.7	0.784058	
16.8	0.791793	
16.9	0.791793	
17	0.777575	
17.1	0.741261	
17.2	0.744139	
17.3	0.742242	
17.4	0.763275	
17.5	0.789647	
17.6	0.783641	
17.7	0.783641	
17.8	0.76578	
17.9	0.781492	
18	0.823368	
18.1	0.851044	
18.2	0.848079	
18.3	0.875819	
18.4	0.895202	
18.5	0.914653	
18.6	0.927405	
18.7	0.927405	
18.8	0.945471	
18.9	0.960975	
19	0.955513	
19.1	0.95534	
19.2	0.970865	
19.3	1.01841	
19.4	1.10761	
19.5	1.16294	
19.6	1.1739	
19.7	1.1739	
19.8	1.15436	
19.9	1.17909	
20	1.21963	
