V - Plot 0	PC - Plot 0	
-20	-0.0227989	
-19.9	-2.17973	
-19.8	-9.78956	
-19.7	-12.4256	
-19.6	-10.8523	
-19.5	-8.6466	
-19.4	-7.03257	
-19.3	-7.03257	
-19.2	-5.63903	
-19.1	-5.27245	
-19	-5.27245	
-18.9	-5.01879	
-18.8	-4.86741	
-18.7	-4.73178	
-18.6	-4.57417	
-18.5	-4.43965	
-18.4	-4.32218	
-18.3	-4.32218	
-18.2	-4.2282	
-18.1	-4.12899	
-18	-3.97209	
-17.9	-3.80749	
-17.8	-3.62403	
-17.7	-3.50228	
-17.6	-3.41239	
-17.5	-3.30143	
-17.4	-3.21072	
-17.3	-3.21072	
-17.2	-3.1393	
-17.1	-3.0472	
-17	-2.93033	
-16.9	-2.79384	
-16.8	-2.69092	
-16.7	-2.62454	
-16.6	-2.62454	
-16.5	-2.59178	
-16.4	-2.53743	
-16.3	-2.51594	
-16.2	-2.50958	
-16.1	-2.46399	
-16	-2.35284	
-15.9	-2.22525	
-15.8	-2.11887	
-15.7	-2.05261	
-15.6	-2.00169	
-15.5	-1.93646	
-15.4	-1.93646	
-15.3	-1.88375	
-15.2	-1.82798	
-15.1	-1.74142	
-15	-1.68559	
-14.9	-1.63454	
-14.8	-1.55044	
-14.7	-1.49184	
-14.6	-1.45303	
-14.5	-1.40411	
-14.4	-1.40411	
-14.3	-1.33949	
-14.2	-1.27358	
-14.1	-1.22837	
-14	-1.20079	
-13.9	-1.16106	
-13.8	-1.10999	
-13.7	-1.06389	
-13.6	-1.02367	
-13.5	-0.949457	
-13.4	-0.949457	
-13.3	-0.893277	
-13.2	-0.859128	
-13.1	-0.832773	
-13	-0.764009	
-12.9	-0.682209	
-12.8	-0.651999	
-12.7	-0.673412	
-12.6	-0.702354	
-12.5	-0.623177	
-12.4	-0.623177	
-12.3	-0.600652	
-12.2	-0.594284	
-12.1	-0.578053	
-12	-0.546439	
-11.9	-0.514195	
-11.8	-0.522733	
-11.7	-0.564606	
-11.6	-0.598882	
-11.5	-0.562073	
-11.4	-0.506108	
-11.3	-0.523769	
-11.2	-0.523769	
-11.1	-0.563546	
-11	-0.527456	
-10.9	-0.468826	
-10.8	-0.429841	
-10.7	-0.39148	
-10.6	-0.394399	
-10.5	-0.437572	
-10.4	-0.437572	
-10.3	-0.441322	
-10.2	-0.425361	
-10.1	-0.418123	
-10	-0.435834	
-9.9	-0.419138	
-9.8	-0.37611	
-9.7	-0.333337	
-9.6	-0.333337	
-9.5	-0.304831	
-9.4	-0.283979	
-9.3	-0.252498	
-9.2	-0.252992	
-9.1	-0.273172	
-9	-0.285426	
-8.9	-0.286945	
-8.8	-0.324126	
-8.7	-0.329003	
-8.6	-0.24837	
-8.5	-0.24837	
-8.4	-0.364913	
-8.3	-0.474886	
-8.2	-0.486268	
-8.1	-0.457358	
-8	-0.378807	
-7.9	-0.343612	
-7.8	-0.32597	
-7.7	-0.308679	
-7.6	-0.308679	
-7.5	-0.303034	
-7.4	-0.28975	
-7.3	-0.244995	
